part name,symbol,size (imp),max current,unit price,units per build,units in stock,order total,Manufacturer ID,source url,MacroFab House Part,datasheet,,,
80 pin header,PORT_IN1,,,$1.35,1,1,$1.35,DF40C-80DP-0.4V(51),http://www.digikey.com/product-detail/en/DF40C-80DP-0.4V(51)/H11632CT-ND/1969511,N,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,Total Base Cost,$19.38
80 pin receptacle (2.0mm),PORT_OUT1,,,$1.90,1,2,$1.90,DF40C(2.0)-80DS-0.4V(51),http://www.digikey.com/product-detail/en/DF40C(2.0)-80DS-0.4V(51)/H11773CT-ND/2178736,N,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,,
AND/OR gate,PORT_ANDOR1,,,$0.25,1,2,$0.25,SN74LVC1G0832DCKR,http://www.digikey.com/product-detail/en/SN74LVC1G0832DCKR/296-18754-1-ND/863884,,http://www.ti.com/lit/ds/symlink/sn74lvc1g0832.pdf,,,
multifunction gate,"PORT_XOR1, PORT_INV1",,,$0.14,2,6,$0.28,SN74LVC1G58DCKR,http://www.digikey.com/product-detail/en/SN74LVC1G58DCKR/296-15577-1-ND/571153,,http://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf,,,
64kbit eeprom,PORT_IC1,udfn,,$0.61,1,2,$0.61,AT24CS64-MAHM-T,http://www.digikey.com/product-detail/en/AT24CS64-MAHM-T/AT24CS64-MAHM-TCT-ND/4292118,N,http://www.atmel.com/images/atmel-8870-seeprom-at24cs64-datasheet.pdf,,,
acc/gyro,U1,24pin QFN 3x3,,$10.72,1,2,$10.72,MPU-6500,http://www.digikey.com/product-detail/en/MPU-6500/1428-1011-1-ND/4385413,N,http://store.invensense.com/datasheets/invensense/MPU_6500_Rev1.0.pdf,,,
n-channel mosfet,Q1,"TO-236-3, SC-59, SOT-23-3",220mA continuous,$0.09,1,59,$0.09,bss138,http://www.digikey.com/product-detail/en/BSS138/BSS138CT-ND/244294,MF-DSC-SOT233-BSS138,https://www.fairchildsemi.com/datasheets/BS/BSS138.pdf,,,
3.3v regulator,U2,SOT23-5,0.3A,$0.49,1,8,$0.49,TLV70233DBVR,http://www.digikey.com/product-detail/en/TLV70233DBVR/296-32415-1-ND/3505572,MF-REG-SOT235-3.3V-300mA,http://www.ti.com/lit/ds/symlink/tlv702.pdf,,,
R 100k,R1,603,,$0.01,1,55,$0.01,RC0603FR-07100KL,http://www.digikey.com/product-detail/en/RC0603FR-07100KL/311-100KHRCT-ND/729836,MF-RES-0603-100K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,,
R 1k,R2,603,,$0.01,1,993,$0.01,RC0603FR-071KL,http://www.digikey.com/product-detail/en/RC0603FR-071KL/311-1.00KHRCT-ND/729790,MF-RES-0603-1K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,,
red led,D1,,,$0.19,1,71,$0.19,LTST-C190KRKT,http://www.digikey.com/product-detail/en/LTST-C190KRKT/160-1436-1-ND/386816,MF-LED-0603-RED,http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/S_110_LTST-C190KRKT.pdf,,,
"C 10nF (0.01uF, 10000pF) X7R",C1,603,,$0.01,1,96,$0.01,06035C103KAT2A,http://www.digikey.com/product-detail/en/06035C103KAT2A/478-1227-1-ND/564259,Y,http://datasheets.avx.com/X7RDielectric.pdf,,,
C 0.1uF,"C2, C3",603,,$0.02,2,400,$0.04,C0603C104K4RACTU,http://www.digikey.com/product-detail/en/C0603C104K4RACTU/399-1096-1-ND/411371,MF-CAP-0603-0.1uF,http://www.kemet.com/docfinder?Partnumber=C0603C104K4RACTU,,,
C 1uF X7R,"C4, C5",603,,$0.03,2,20,$0.06,TMK107B7105KA-T,http://www.digikey.com/product-detail/en/TMK107B7105KA-T/587-2984-1-ND/2714177,MF-CAP-0603-1uF,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TMK107B7105KA-T&fileName=TMK107B7105KA-T_SS&mode=specSheetDownload,,,
Chickadee Acro v1,PCB,,,$3.37,1,2,$3.37,CKD-ACRO-V1,,N,,,,
